source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
4252499110434880256,282.7984964364625,-6.342342939534931,19.529753,19.997599,18.511864
4252499179154564096,282.78775767384315,-6.3307981254387595,18.492489,19.001177,17.367334
4252502099732538496,282.771310785144,-6.3233721280461985,20.049875,,
4252499179154564480,282.7891897737641,-6.329445362719969,19.815197,,
4252502134092278144,282.78220045982005,-6.313778925701408,19.84198,19.077658,18.45689
4252502061001191936,282.7460771059268,-6.330935085882723,16.54318,17.475443,15.522616
4252499041715610368,282.7638576533974,-6.3518011924584075,17.969856,,
4252499144828614656,282.78061565701677,-6.33489406927739,17.611479,18.153461,16.754105
4252499728910376960,282.83506370861465,-6.289169859161002,18.209034,18.698763,17.287867
4252499144794824832,282.7844775761891,-6.333760593955492,19.53424,19.4908,18.32859
4252502099732539648,282.76945452987854,-6.325013616576674,19.79986,19.784615,
4252502099732539520,282.7692201014232,-6.325004284945129,19.987005,19.6647,18.062325
4252499625830949888,282.83199528007606,-6.313366397499787,19.29529,19.12451,17.95441
4252502168454760960,282.7546494938818,-6.323363370346511,20.18717,,
4252499557111688832,282.7987130774843,-6.320792266689779,19.55689,19.396261,18.125183
4252501996653386624,282.75725650805606,-6.330080598131612,18.485332,18.061161,16.825449
4252499522751734272,282.81991560563245,-6.324064284401531,20.283283,,
4252499488392081920,282.80689798586087,-6.326751682476715,19.902683,19.812126,18.788054
4252502031013218304,282.733732572033,-6.341362648628305,18.120926,18.622957,17.008774
4252499179154566272,282.79115023939283,-6.3270285649295035,19.661388,,
4252498972996007296,282.77744327900376,-6.3526458268811785,18.508148,19.17897,17.209885
4252499625830949760,282.8320134672836,-6.312987607996121,20.061827,,
4252502031013285888,282.73703547474145,-6.331659012214248,19.294254,19.400013,18.217634
4252501206379130368,282.8401088824824,-6.284292284465777,19.26689,19.444296,18.141413
4252502099732540416,282.7662206016876,-6.327739654796897,18.243393,,
4252499041715613056,282.77085384267554,-6.345384651839372,20.032291,,
4252499660190687360,282.84980639013287,-6.297728643515171,20.66548,19.33291,18.91812
4252499694550724608,282.8202214548459,-6.2930140075603545,19.59729,19.695755,18.12205
4252499007389664768,282.7604702672962,-6.350897020548871,18.652338,18.789486,17.305244
4252499728910379648,282.8323369240281,-6.2912556290015464,19.406065,19.40585,18.356245
4252499041715612544,282.770059477204,-6.346153042623416,20.282127,19.478258,18.163889
4252499522751809792,282.81722148964553,-6.318612060351158,16.75306,,
4252502031013207552,282.7352303504417,-6.340587157836833,19.844316,,
4252499076075138816,282.79151668072444,-6.348425639095086,20.270166,,
4252499522751737728,282.82898374160703,-6.315835360636811,20.441547,,
4252499144794826752,282.78385334950104,-6.334101845389207,18.349043,18.77215,17.39188
4252499694550640896,282.8177789613611,-6.30417656503453,19.846315,19.750046,18.263771
4252501996653334528,282.75105935203385,-6.340394484164238,18.5928,18.633074,17.325022
4252499660194821632,282.83988612090855,-6.301567333012225,20.055195,18.798988,
4252499041715623552,282.7717004081311,-6.343747710726964,19.89415,,
4252501240772653184,282.85009025970623,-6.274855439938486,15.636983,16.074759,14.552122
4252499144794888064,282.77723500958746,-6.3337818393366385,20.251587,,
4252499625830951424,282.83410163240575,-6.311416509103328,17.836094,18.390804,16.978243
4252499522751736576,282.82026368827223,-6.3236103031114625,20.068117,18.53044,18.919498
4252499179188352000,282.78747994279115,-6.329637064831166,18.984577,18.057789,17.612144
4252499488391998336,282.8191348341476,-6.324569661472784,20.055975,19.898087,18.795567
4252499144794838016,282.78028154369423,-6.3362250094013275,20.000256,,
4252502065373028096,282.74017646973147,-6.328351785882741,18.287891,18.701416,17.240116
4252499076079279872,282.7943304380233,-6.342636342622809,19.296162,19.039543,17.88065
4252499041715623168,282.7709758412707,-6.343746694250171,19.169361,,
4252502099732552064,282.7643220770211,-6.328398059148009,18.021639,17.620712,16.067402
4252499591471436288,282.80800856370774,-6.311898374496118,20.093515,,
4252502031013289344,282.7318422825456,-6.335779628262673,18.571405,18.872797,17.598656
4252499728910390016,282.8319828029919,-6.290631808792836,19.734377,19.291332,18.293879
4252502099732552192,282.7690964080577,-6.324161102488913,20.293207,20.766518,18.379713
4252499179188340736,282.798618266313,-6.326304426386175,15.744647,16.838829,14.673511
4252499724539191552,282.83208482090987,-6.281091571544975,17.34577,18.250032,16.170576
4252502099732551936,282.76368075404247,-6.328359344918509,19.807283,,
4252499110434887424,282.8017978076971,-6.338516394939124,19.987328,20.382072,18.738104
4252499140445821440,282.7749510063661,-6.33217757330229,19.2569,19.16264,17.772705
4252499522751747968,282.8214104297755,-6.32119459569308,18.795883,19.070572,17.778944
4252502099732551808,282.7642062722342,-6.328271861655387,17.822502,17.39169,16.036247
4252502031013282560,282.7280694977668,-6.339769047972491,20.640795,,
